Employee_ID,First Name,Last Name,Age,Salary,Department,Join_Date,Join_Year,Bonus_Eligible
1032,Neha,Singh,46.0,109334.0,Sales,10-06-2020,2020,No
1033,Priya,Gupta,51.0,80181.0,Sales,22-09-2025,2025,Yes
1034,Rahul,Sharma,23.0,53176.0,Sales,13-02-2024,2024,Yes
1035,Isha,Sharma,35.0,57963.0,Marketing,26-06-2021,2021,No
1036,Rohan,Gupta,36.0,70812.0,Marketing,09-06-2019,2019,No
1037,Priya,Sharma,24.0,69150.0,IT,19-01-2024,2024,Yes
1038,Rohan,Pawar,48.0,53378.0,Marketing,22-10-2023,2023,Yes
1039,Sneha,Sharma,36.0,69201.0,Operations,29-08-2020,2020,No
1040,Kunal,Patel,54.0,76473.87234042553,Operations,03-02-2018,2018,No
1041,Rohan,Deshmukh,59.0,92975.0,Operations,28-12-2022,2022,Yes
1042,Rahul,Singh,46.0,57292.0,HR,24-12-2023,2023,Yes
1043,Rahul,Sharma,45.0,105081.0,IT,14-08-2024,2024,Yes
1044,Isha,Patel,48.0,76473.87234042553,Finance,03-01-2024,2024,Yes
1045,Aarav,Singh,43.0,97973.0,HR,24-09-2020,2020,No
1046,Isha,Joshi,26.0,43941.0,Finance,10-09-2022,2022,Yes
1047,Sneha,Shah,25.0,62958.0,Marketing,31-05-2018,2018,No
1048,Neha,Pawar,34.0,113457.0,Finance,13-03-2018,2018,No
1049,Aarav,Pawar,51.0,111100.0,Operations,19-03-2022,2022,Yes
1050,Rahul,Pawar,57.0,116224.0,Finance,28-09-2025,2025,Yes
1051,Neha,Mehta,34.0,41555.0,Finance,21-01-2026,2026,Yes
1052,Kunal,Sharma,53.0,76473.87234042553,Sales,26-09-2024,2024,Yes
1053,Sneha,Shah,36.0,69659.0,Operations,25-08-2023,2023,Yes
1054,Ananya,Gupta,48.0,113585.0,Marketing,10-02-2020,2020,No
1055,Isha,Singh,23.0,53455.0,Marketing,06-09-2022,2022,Yes
1056,Rohan,Deshmukh,44.0,53505.0,Finance,10-07-2025,2025,Yes
1057,Kunal,Patel,56.0,62958.0,Operations,09-02-2018,2018,No
1058,Isha,Shah,41.0,58048.0,Marketing,08-07-2018,2018,No
1059,Aarav,Kulkarni,54.0,117031.0,Sales,19-03-2019,2019,No
1060,Rahul,Joshi,32.0,119542.0,Finance,09-08-2025,2025,Yes
1061,Rahul,Kulkarni,34.0,67698.0,Marketing,03-07-2022,2022,Yes
1062,Priya,Sharma,29.0,71857.0,Sales,29-09-2022,2022,Yes
1063,Sneha,Kulkarni,43.0,62958.0,IT,22-09-2019,2019,No
1064,Ananya,Kulkarni,41.29473684210527,54445.0,Sales,05-08-2021,2021,No
1065,Vikram,Sharma,34.0,53307.0,Marketing,12-06-2021,2021,No
1066,Neha,Kulkarni,46.0,58843.0,Sales,23-04-2021,2021,No
1067,Ananya,Joshi,40.0,70040.0,IT,24-01-2026,2026,Yes
1068,Kunal,Shah,27.0,44311.0,Marketing,13-01-2020,2020,No
1069,Vikram,Pawar,25.0,72100.0,Marketing,15-12-2020,2020,No
1070,Isha,Pawar,32.0,98525.0,Sales,07-05-2019,2019,No
1071,Rahul,Shah,52.0,109070.0,IT,18-01-2026,2026,Yes
1072,Isha,Singh,45.0,56515.0,IT,04-12-2023,2023,Yes
1002,Isha,Patel,25.0,67445.0,HR,13-03-2021,2021,No
1074,Neha,Singh,39.0,96704.0,IT,29-03-2025,2025,Yes
1075,Isha,Sharma,58.0,106931.0,IT,28-05-2023,2023,Yes
1076,Kunal,Singh,55.0,45391.0,Marketing,11-04-2023,2023,Yes
1077,Kunal,Joshi,43.0,51088.0,Operations,27-01-2020,2020,No
1078,Rohan,Joshi,54.0,58579.0,IT,10-04-2023,2023,Yes
1044,Isha,Patel,48.0,92702.0,Finance,03-01-2024,2024,Yes
1080,Neha,Joshi,54.0,59688.0,Marketing,26-08-2018,2018,No
1081,Aarav,Mehta,34.0,92280.0,IT,03-02-2026,2026,Yes
1082,Ananya,Singh,59.0,89703.0,Marketing,07-03-2023,2023,Yes
1083,Vikram,Joshi,44.0,44765.0,Sales,18-03-2022,2022,Yes
1084,Sneha,Mehta,31.0,73133.0,HR,17-02-2018,2018,No
1085,Vikram,Patel,41.29473684210527,88329.0,IT,12-08-2024,2024,Yes
1086,Isha,Shah,57.0,49091.0,Operations,04-11-2024,2024,Yes
1087,Ananya,Deshmukh,50.0,108114.0,HR,04-01-2020,2020,No
1088,Vikram,Singh,49.0,56161.0,Marketing,06-06-2019,2019,No
1089,Kunal,Shah,30.0,62958.0,Sales,24-01-2024,2024,Yes
1090,Aarav,Gupta,40.0,59364.0,Marketing,28-07-2019,2019,No
1091,Rahul,Singh,44.0,52074.0,Sales,24-05-2021,2021,No
1092,Neha,Pawar,56.0,76473.87234042553,HR,16-04-2022,2022,Yes
1093,Aarav,Patel,25.0,60961.0,Sales,05-09-2018,2018,No
1094,Rohan,Mehta,35.0,103378.0,Marketing,30-06-2022,2022,Yes
1095,Sneha,Kulkarni,44.0,62958.0,IT,08-07-2018,2018,No
1087,Ananya,Deshmukh,50.0,108114.0,HR,04-01-2020,2020,No
1097,Rohan,Kulkarni,25.0,83218.0,Marketing,21-04-2020,2020,No
1098,Vikram,Patel,34.0,51445.0,IT,24-11-2022,2022,Yes
1099,Neha,Pawar,30.0,69238.0,Sales,08-03-2022,2022,Yes
1100,Sneha,Deshmukh,34.0,82771.0,Sales,23-09-2025,2025,Yes
